#TIC Period t0 Duration Depth SNR Depth_even Depth_odd Depth_half
43398254 0.45254481450475514 0.2225 0.055 164971.7719061032 7373489.757042183 185462.5334449195 143184.12672558948 14781.575554986914
260161144 1.117124341477985 0.42 0.11 182010.8909646401 7355975.038025988 201817.489862727 162529.34565897222 91731.14304770909
229810745 0.49752038668843523 0.05 0.05 175037.46380868193 7148554.936705805 174774.88297650756 175298.91526093293 105907.30311170942
9070070 0.48140870378135225 0.4075 0.095 129072.47928538667 6948950.477047366 128636.19050678848 129503.00530631472 164440.59565348327
30631330 0.5810513592571076 0.31000000000000005 0.07 153783.00917845764 6863082.25511862 150659.72859150753 156878.94054835907 12761.795767759457
155540827 1.8253107471358045 0.9249999999999999 0.16 178282.08799166098 6785570.002158722 181256.23261253745 174410.08839089685 86606.48182606048
240764987 0.5136864906734161 0.11499999999999999 0.11 121237.50265338499 6774672.656104976 119459.22613156855 122979.63175953727 46293.95621107037
237915523 0.49834082055547857 0.36750000000000005 0.055 157199.1267630902 6693044.8635187 168332.77494299648 145977.81206208238 17775.069478329686
399577123 0.46798941898719076 0.2375 0.055 153244.64059222254 6675627.13537676 157435.04763688508 148999.30311813578 10417.868781136396
120607386 0.413603370673636 0.0575 0.085 119536.3293837172 6506379.852599394 120088.21047187512 118976.37198695209 151571.72436118673
141622065 1.464084719546652 1.31 0.2 138707.49732198077 6436877.162511947 147994.49606530232 127414.50685010146 63563.470730023066
389728831 0.5217167298696239 0.36000000000000004 0.05 160584.98033067503 6405066.574846835 161180.32812269064 160035.17827138185 179493.11715038045
389754101 1.9016056611527279 1.3900000000000001 0.18 161077.85419950547 6390183.413293422 156947.54567488664 165338.44114721398 77991.18596010224
69838619 0.574942731185515 0.2725 0.075 138444.04122264695 6359109.055517378 128554.77467690152 148472.4779101785 8159.653432912462
176958076 0.40300516250554114 0.185 0.08 116858.1268184116 6298622.523243364 116676.072438142 117039.2784496881 154454.17307274995
183532876 0.5014205613768542 0.3575 0.085 118376.75825912239 6044914.346333904 117689.40002280285 119059.76612685768 1805.624160382591
281498280 0.7506490737719793 0.5800000000000001 0.05 178556.5599895432 5990814.405411603 178319.84899502696 178791.31469484884 170379.38239979427
49677785 1.5945053615025842 0.49250000000000005 0.195 120332.83691139566 5515670.380626681 119629.83117484256 120984.90831512504 78180.06161985005
167163906 0.7570792208270903 0.195 0.2 92316.56346036296 5483455.818020585 91738.69228673688 92897.10546714446 -31.066922850804076
234505545 0.5269318127452435 0.14 0.2 82123.20152320458 5392117.597678009 91110.82761874177 72920.77352156599 1426.6120954445166
372816629 0.4544620033010018 0.15000000000000002 0.2 79914.07371951018 5361802.652716902 80695.2158213614 79118.68586504161 5011.829996886594
276935996 2.121692439775554 0.54 0.2 131399.90304791066 5319931.658753285 143462.6727337019 117573.23779485736 58251.518132807425
141770299 0.40031984542531907 0.2225 0.085 94608.70654781988 5233364.427514332 94505.64066705052 94714.29802629328 125024.25840414484
259901124 0.45612142334976363 0.31 0.09 95905.66927035716 5184755.5451729605 95802.62962843233 96013.32693544944 120636.44712534195
31850842 2.3198980704206975 1.7875 0.075 218871.38190079422 5134680.4630101295 218595.06448045382 219191.8260574628 141942.8584662401
160065970 1.3681289510176873 0.8825 0.075 165385.90633477553 5068382.200944112 165114.48244173662 165704.2503318627 92545.49353772358
350297825 0.7137005751880056 0.505 0.2 82144.89491700262 4988071.44188201 79158.83852127363 85077.75278670395 -10414.350768727216
382425148 0.5475861731744195 0.3425 0.065 110116.49866827916 4827646.656466149 125234.43997950912 94775.20827027173 6972.791978257139
166969516 0.43391656140449636 0.27 0.09 87666.03364902617 4823060.569784882 87387.20702167807 87949.86033192794 115838.99532799437
9632550 0.5934364864740195 0.1975 0.095 96897.62401854819 4822194.767655438 97006.18172165689 96789.28666260396 -1145.8312082158845
349059354 1.6643690682427306 1.1075 0.145 122687.45328318662 4766770.404247238 121410.86765588907 123960.96650223558 62106.59632233207
160081043 0.7687096063208655 0.3225 0.085 112673.01390508242 4763124.645535241 112211.42863319987 113202.2325269625 92289.19288462642
260369118 0.5004983061411699 0.40750000000000003 0.125 80653.7345861677 4747135.268782077 81685.02001187162 79618.88686192942 119149.78524123099
69888530 5.1563008335813025 4.055 0.2 166481.27442135537 4744997.041103482 127773.03095461219 204827.75860336292 96344.12083326081
279741942 14.23726634446331 5.21 0.19 288942.57847855287 4721248.073961538 289156.50394892116 288723.8636319823 143629.1847938341
381950094 0.42725038098767754 0.27 0.09 85527.96601560169 4718985.543974492 84934.88874068529 86086.40232179184 110195.8784613587
306578324 0.6474277334703618 0.345 0.2 75190.6147747899 4716328.96390481 97294.73739217583 53332.3496213443 1072.7837578753793
307085473 0.4178614075053833 0.25 0.08 86998.05983379272 4632572.147467487 86586.34247722122 87381.43761460914 113446.45607551973
306773798 0.4804898356911654 0.08 0.11 80791.3174861191 4596489.954210586 80866.53628830971 80718.91060176729 106327.2919100732
183596242 0.4456963443031279 0.029303655696872155 0.05 114884.32530499378 4595133.007424043 103216.81885425042 103602.65841077712 91302.62220559063
270411008 17.289909042836246 8.280000000000001 0.17 293526.42471965204 4563583.722546381 292805.48247357283 294241.5056466574 195744.02231643128
219998089 3.1000083940096443 1.87 0.2 131094.9159824182 4523331.7594990535 158413.84679104353 108883.77393687841 69204.1340399883
5795305 0.560765723008552 0.41000000000000003 0.07 100649.8876107824 4506208.011559753 104094.82259526169 97104.25922108797 5277.029449719686
25133286 0.816995753164807 0.115 0.2 76970.02688926873 4441376.153990926 69460.03441798223 84691.81295313383 -120.53058732185309
13068361 0.6147026581126324 0.1625 0.055 114844.81200588228 4434111.108511677 115519.66670988807 114229.08592664335 126943.51913618806
144309524 0.44569967132636906 0.1825 0.055 97286.92018659573 4352281.470575646 97116.72180159186 97455.19458985592 112964.73795941628
102069549 19.38033424810947 6.205 0.2 366608.8496073873 4336438.548221904 366608.8496073872 0.0 181507.85532111677
349832824 1.040569032820826 0.2525 0.075 124828.89972017081 4330392.333023531 124883.36343533926 124775.51861707756 78245.87416970087
294784522 0.49563108084402785 0.2225 0.105 78058.10695856322 4297799.604713078 78350.4434262782 77759.91760055667 92367.37328308004
304102073 1.0054279485140434 0.28500000000000003 0.2 79439.27440464082 4281698.545106687 80482.81543380264 78540.05858722427 20568.238849392128
270622446 1.2221668879039609 0.185 0.2 84742.80320354279 4274075.2022973625 112647.65096770866 52843.156180506754 40306.57589528051
12419331 0.5248984142405757 0.29500000000000004 0.05 105866.54625281355 4232220.0948868515 104022.29530820348 107667.52427023166 102221.51455058137
220430912 2.032277472159641 1.3475 0.17500000000000002 106014.52939439428 4199338.698152636 106026.92613195436 106002.31725888267 73518.28095901429
293271581 0.43511037273706504 0.30250000000000005 0.055 92387.49679056455 4174522.98549846 92799.55705904367 91977.19295971726 14079.488029919397
322493523 1.532563802801863 1.225 0.08 137863.83025058915 4168312.5409207605 137874.25944830454 137854.29084553575 96626.4057396386
179985566 11.040680321010614 5.425 0.18 261575.7793095291 4163827.7018940984 260781.26927381824 262364.1303527151 115924.32778185817
471013939 16.31880503747285 5.0649999999999995 0.11 333151.8920745957 4116889.048399219 254561.70411322685 407762.83001260395 333151.8920745956
30313682 2.8639237679501055 1.03 0.2 117617.94632980351 4116409.7815000513 131966.54229352754 101807.0730704135 58070.22623907057
425064757 0.5225296438908905 0.02747035610910953 0.05 108587.56426700627 4070901.9176717144 100407.31085613262 99282.38342835843 111270.90162198021
201776479 0.5506895948536039 0.2625 0.055 97564.04654370158 3975012.181920787 98246.94811666364 96852.43893116788 12527.452229635264
201249189 0.47033445898630505 0.27 0.1 71265.98948723756 3945077.401026763 71396.24325213666 71131.1713906187 95775.26676610834
279955276 0.5766993969502293 0.455 0.16 64861.167402308885 3899803.4503758466 64715.227726440564 65006.75414062972 45105.477979710064
55497281 7.453110214250092 4.245 0.2 247053.77866434449 3833207.3479398373 247053.77866434443 0.0 72206.56106729692
49735506 0.6603649924114938 0.41000000000000003 0.07 91643.36395444363 3827955.46749303 91317.57735075652 91979.65980341086 103785.0176214708
355635441 0.5889191144923763 0.2125 0.065 89064.19166694235 3807467.3638144573 86681.62689869566 91327.1769534493 10197.154816191256
51991595 0.45813971116924235 0.175 0.05 89453.96479487623 3804400.751727864 89622.22400536116 89291.3955093834 3698.909618309681
234494090 0.9725470325360412 0.28500000000000003 0.05 125435.42582851533 3798096.1361039234 117288.8539470176 132997.78139978612 63125.315415566045
116417661 2.277474165797961 1.7475 0.115 131302.66641520546 3787956.2283966937 130875.13725905269 131637.7096722722 72569.4169262594
