#TIC Period t0 Duration Depth SNR Depth_even Depth_odd Depth_half
269829384 14.367442261861095 2.65 0.05 5438445.413259851 9418881.936167756 5438445.413259851 0.0 217328.12645100174
126944775 1.3477088129149375 0.755 0.15 229553.5399745448 9375129.32198213 238176.0353606913 221538.64011819905 106556.7750554074
348897766 0.44202347984293533 0.20750000000000002 0.075 185777.2050496798 9328807.985889936 185233.11222892546 186301.53833868133 229263.7937244712
261089147 0.4616482330752721 0.3675 0.085 179145.28248150714 9300551.06743978 179108.87945427414 179183.47396592397 206690.25269463882
139148071 0.7008678275432343 0.2575 0.105 192983.0217919455 9248033.817511227 192727.2538180698 193233.35188367876 116851.28156386093
294273900 0.47230536900832926 0.185 0.09 173637.26394870994 9218170.701621313 173665.20631072152 173609.22539956617 226333.4233050149
235000061 0.5365252035769212 0.13 0.06 215690.014578942 9198185.628257664 223517.0123024487 208096.0974792862 23113.07326410956
147131974 0.8017440395808342 0.435 0.09 211517.9611578286 9043234.066887412 212983.07195914234 210187.02794146407 128902.19289731744
355544723 0.46357545857069904 0.05 0.05 216230.95133086102 9040355.54177493 214135.65975208217 218367.2424358978 34804.78981332112
31653503 6.652190739351861 3.8850000000000002 0.2 389618.30077277817 8965720.070328277 411264.88509328756 369204.2621787031 219071.46427281472
471013524 0.7203521114027369 0.21000000000000002 0.17 157514.2984791689 8939938.267854642 152017.89527710874 163219.12144290184 54436.236106576514
150166721 0.48580828474903376 0.36 0.2 133725.33467919563 8826409.619036986 134958.60875588036 132431.55907491298 18081.108337578175
419635446 0.5862284786848808 0.09 0.06 213705.35529744215 8796384.377754483 211839.1319434837 215599.40306775377 28867.92403964947
115105140 0.41061800773328977 0.065 0.08 162829.4246341544 8705975.63202816 162972.43453367447 162689.59449893708 207625.4511219083
117515123 0.5189712947253722 0.41500000000000004 0.05 216138.2912326036 8652468.919352235 216374.5123316139 215909.656414735 241473.54705196636
234491752 0.865781695794724 0.4275 0.105 194542.7413897676 8590789.088439805 196070.87664412736 193111.77849914337 126934.22179494223
261105201 0.47782344268567606 0.125 0.2 128080.5323967722 8502622.266887553 105817.72955889176 151047.06165706605 19869.91975388245
211412634 0.7534794969204316 0.15000000000000002 0.14 160396.73272596765 8430160.418904975 159823.95906414845 160964.1439661432 182420.78006978743
179304342 0.5636616344058971 0.41000000000000003 0.2 124953.67104510136 8021684.2304503145 135700.3807432542 114388.31207310487 -9260.847769593987
412063998 0.4898655501191571 0.37250000000000005 0.055 186856.84124811093 7955009.1048546545 162379.7294335144 209734.59632482182 24990.2072349429
220388567 1.8223448705989675 1.3775 0.155 216863.28171911833 7927725.097093398 200753.23688554706 229867.534327312 100301.70338716308
220521199 0.7289636485357999 0.1575 0.095 172166.10255576216 7840144.328003689 171897.6653400795 172457.4951354389 113260.7657401432
149473467 1.0950820585620968 0.7975 0.135 179233.24334228644 7820428.332336825 178794.18379392594 179680.50194850608 107741.87953397917
231632224 0.43376149596478125 0.3825 0.075 151896.70610798371 7773195.558237951 151285.41686350282 152540.39723872743 4575.460682164368
441357079 14.043090457209622 5.23 0.05 4480253.770134653 7759381.576683821 4480253.770134652 0.0 214768.3635795334
469970988 0.6760408009901056 0.21500000000000002 0.2 126568.51072558822 7751114.302748564 120027.60232318257 133018.81126169313 6245.830592143466
30531417 0.6578775818404263 0.405 0.15 133895.3476028197 7610024.466725645 132936.53515737128 134927.47821750573 187974.85600818152
